what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1318099608180
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1318099608187
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1318099608192
started,bundle,org.eclipse.jgit,0.11.3,"org.eclipse.jgit",1318099608278
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1318099608373
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1318099608385
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1318099608852
started,bundle,org.eclipse.egit.core,0.11.3,"org.eclipse.egit.core",1318099608921
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1318099608971
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1318099609048
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1318099609049
started,bundle,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui",1318099609068
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1318099609221
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1318099609285
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1318099609380
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1318099609431
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1318099609441
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1318099609448
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1318099609520
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1318099609555
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1318099609563
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1318099609685
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1318099609767
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1318099609801
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1318099610188
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1318099610205
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1318099610303
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1318099610334
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1318099610337
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1318099610363
started,bundle,com.motorola.studio.platform.logger,3.0.0,"com.motorola.studio.platform.logger",1318099610529
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1318099610746
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1318099610980
started,bundle,com.motorola.studio.android.ophone,2.2.0.release,"com.motorola.studio.android.ophone",1318099612940
started,bundle,org.eclipse.sequoyah.device.framework,2.0.0.N20110503-1034,"org.eclipse.sequoyah.device.framework",1318099612950
started,bundle,org.eclipse.sequoyah.device.backward,1.0.0.N20110503-1034,"org.eclipse.sequoyah.device.backward",1318099612960
started,bundle,com.motorola.studio.android.devices.services,2.2.0.release,"com.motorola.studio.android.devices.services",1318099612971
started,bundle,com.motorola.studio.android.handset,2.2.0.release,"com.motorola.studio.android.handset",1318099612982
started,bundle,com.motorola.studio.android.mat,2.2.0.release,"com.motorola.studio.android.mat",1318099612984
started,bundle,com.motorola.studio.android.remote,2.2.0.release,"com.motorola.studio.android.remote",1318099612992
started,bundle,org.eclipse.sequoyah.device.service.start,1.0.1.N20110503-1034,"org.eclipse.sequoyah.device.service.start",1318099612997
started,bundle,org.eclipse.sequoyah.device.service.stop,1.0.1.N20110503-1034,"org.eclipse.sequoyah.device.service.stop",1318099612999
started,bundle,org.eclipse.sequoyah.vnc.vncviewer,1.0.0.N20110503-1034,"org.eclipse.sequoyah.vnc.vncviewer",1318099613042
started,bundle,org.eclipse.sequoyah.device.framework.ui,2.0.0.N20110503-1034,"org.eclipse.sequoyah.device.framework.ui",1318099613050
started,bundle,com.motorola.studio.android.emulator,2.2.2.release,"com.motorola.studio.android.emulator",1318099613084
started,bundle,org.eclipse.sequoyah.device.framework.wizard,1.0.2.N20110503-1034,"org.eclipse.sequoyah.device.framework.wizard",1318099613095
started,bundle,org.eclipse.sequoyah.localization.tools,2.0.0.N20110503-1034,"org.eclipse.sequoyah.localization.tools",1318099613096
started,bundle,org.eclipse.sequoyah.localization.android,2.0.0.N20110503-1034,"org.eclipse.sequoyah.localization.android",1318099613101
started,bundle,com.motorola.studio.android.installer,2.2.2.release,"com.motorola.studio.android.installer",1318099613110
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1318099613142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318099615878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318100353874
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1318100356156
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1318100356175
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1318100356196
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318100360558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1318100382677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318100382701
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1318100391545
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1318100392326
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1318100392333
started,bundle,com.motorolamobility.preflighting,0.8.0.release,"com.motorolamobility.preflighting",1318100392376
started,bundle,com.motorolamobility.preflighting.core,0.8.0.release,"com.motorolamobility.preflighting.core",1318100392414
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1318100392724
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1318100392724
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1318100392724
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1318100392724
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1318100392724
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1318100392725
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1318100392725
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1318100392725
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1318100392725
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1318100392725
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1318100392725
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1318100392725
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1318100392727
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1318100392727
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1318100392728
stopped,bundle,net.certiv.proguarddt,0.8.0.201006142122,"net.certiv.proguarddt",1318100392728
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1318100392728
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1318100392728
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1318100392728
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1318100392729
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1318100392730
stopped,bundle,org.eclipse.jst.server.ui,1.1.101.v20100823b,"org.eclipse.jst.server.ui",1318100392730
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1318100392730
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1318100392730
stopped,bundle,com.motorola.studio.android.launch,2.2.1.release,"com.motorola.studio.android.launch",1318100392730
stopped,bundle,com.motorola.studio.android.db,2.2.0.release,"com.motorola.studio.android.db",1318100392730
stopped,bundle,com.motorola.studio.android.devices.services,2.2.0.release,"com.motorola.studio.android.devices.services",1318100392730
stopped,bundle,com.motorola.studio.android.handset,2.2.0.release,"com.motorola.studio.android.handset",1318100392732
stopped,bundle,com.motorola.studio.android.mat,2.2.0.release,"com.motorola.studio.android.mat",1318100392732
stopped,bundle,com.motorola.studio.android.ophone,2.2.0.release,"com.motorola.studio.android.ophone",1318100392732
stopped,bundle,com.motorola.studio.android.packaging.ui,2.2.0.release,"com.motorola.studio.android.packaging.ui",1318100392732
stopped,bundle,com.motorola.studio.android.packaging,2.2.0.release,"com.motorola.studio.android.packaging",1318100392732
stopped,bundle,com.motorola.studio.android.remote,2.2.0.release,"com.motorola.studio.android.remote",1318100392733
stopped,bundle,com.motorola.studio.android.emulator,2.2.2.release,"com.motorola.studio.android.emulator",1318100392740
stopped,bundle,com.motorola.studio.android,2.2.2.release,"com.motorola.studio.android",1318100392741
stopped,bundle,com.motorola.studio.android.installer,2.2.2.release,"com.motorola.studio.android.installer",1318100392741
stopped,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1318100392752
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1318100392752
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.3.0.v201004280001,"org.eclipse.jpt.eclipselink.ui",1318100392752
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.3.2.v201102072310,"org.eclipse.jpt.eclipselink.core",1318100392752
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.0.1.v201006300000,"org.eclipse.jpt.jaxb.ui",1318100392753
stopped,bundle,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui",1318100392753
stopped,bundle,org.eclipse.jpt.core,2.3.3.v201102172310,"org.eclipse.jpt.core",1318100392753
stopped,bundle,org.eclipse.jpt.db,1.2.202.v201010192330,"org.eclipse.jpt.db",1318100392753
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v201004070709,"org.eclipse.datatools.enablement.jdt.classpath",1318100392753
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1318100392753
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1318100392753
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1318100392753
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1318100392753
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1318100392753
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1318100392753
